mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
gãnga;2;Nom;ã̀-á;bracelet tissé;bracelet (woven);;gãense;Adornment;;
gãnga;3;Nom;à-á;chenille aux poils;hairy caterpillar;;gãense;Small animals;gãeega;
gãngãdo;;Nom;á;brouillard;mist, fog;gangadgo;gãngãbdo;Weather;wulgu, wul-faaga, gãngãobgo, wuswulli;
gãngãobgo;;Nom;;brouillard;mist, fog;;gãngãbdo;;wuswulli, wulgu, gulgubri, gãngãdo;
gãngãoogo;;Nom;à-ó;tambour fait d'un tronc d'arbre creux, tam-tam;big drum made of tree trunk, cylinder-drum;;gãngãado;Musical instrument;;
gãnge;;Verbe;;enjamber, sauter;step over, stride over, jump over;;;;zãndge;
gãng-la-pɛɛlga;;Nom;;tissu noir et blanc;black and white cloth / fabric;;;Colour;;
gãngo;;Nom;ã́-ò;peau (d'un animal), cuir;skin (of animal), leather.;;;;;
gãn-naongo;;Nom;;espèce de plante;kind of plant;gãn-noanga;;Grass, herb, vine;;
gãn-noanga;;Nom;;cuir;leather;;;;gãn-nomdem;
gãn-nomdem;;Nom;;cuir;leather;;;;gãn-noanga;
gãn-peelle;;Nom;;derme;dermis skin;;gãn-pɛɛla;Body;;
gãnsaaga;;Nom;ã̀-á-à;herbe fine utilisée pour tresser;plant sp (used for braiding);;gãnsaase;Grass, herb, vine;;
gãn-tika;;Nom;;cuirasse;breastplate, coat of armour;;;;;
gãn-yogre;;Nom;;courge (espèce) dont la pulpe sert à travailler les peaux;marrow;;gãn-yoaga;Grass, herb, vine;;
gãobgo;;Nom;;oignons séchés;dried onion-greens;;gãbdo;Food;;
gaolgo;;Nom;á-ò;abreuvoir de forme allongée (ex;;;gando;Animal husbandry;;
gãongo;;Nom;ã́-ò;peau;skin;gãngo;gãndo;;yĩn-gãongo;
gãoobgo;;Nom;á-ó;corbeau;crow, pied-crow;;gãabdo;Bird;;
gaooge;;Verbe;á-ò;retourner (terre) en tirant vers soi;turn over the soil in pulling it towards oneself;;;;;
gãooge;;Verbe;á-è;plisser, froisser;wrinkle up, to fold, crease sth;;;;põdge;"yõdge2; synonyme: põdge"
gãoog-nanguri;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
gãoone;;Verbe;à;devenir froissé, se faner;become rumpled, screw up, droop;gãoole;;;;
gaoore;;Nom;á-è;butte, petite tertre de terre retournée;mound, small knoll of soil turned over.;;gaoa;;;
gãoore;;Nom;à-é;boulette de farine de haricot ou de petit mil cuite;ball of cooked been or millet flour;;gãoa;Food;;
gaorengo;;Nom;à-ó;grand panier à volaille;big basket for fowls.;;garendo;;;
gão-saala;;Nom;;gâteau de petit mil;millet cake;;;Food;;
gaosgo;;Nom;à-ó;lit sur piquets;bed.;;gasdo;;;
gãosgo;;Nom;;une tour;tower;;;Building;;
gã-pʋkre;;Nom;;énurésie, mouiller le lit;enuresis, bed-wetting;;;Disease;rʋʋd-ko-rʋʋdgo;
garaam;;Nom;á;gramme;gram, gramme.;;;;;
garas soaba;;Nom;;garagiste;garage manager, mechanic;;;Worker;;
garbe;;Verbe;á-è;mendier;beg for;;;;;
gare;;Nom;à-é;teinture indigo;indigo dyeing;;;;soabga;
gãre;;Verbe;à-é;dépourvu de, privé de;be without, bereft of;;;;;
garenga;;Nom;á-á;crabe;crab;;garense;Small animals;;
garenwiiga;;Nom;;arbuste (espèce);shrub sp;;;Bush, shrub;wilinwiiga;
garga;1;Nom;à-á;arbuste (espèce), indigotier;shrub sp;;garse;Bush, shrub;;
garga;2;Nom;á-à;parc, parcage;gardens, fold (for animals).;;garse;;;
gar-gare;;Adverbe;à;précipitamment;hastily, scuttle;;;;;
garge;;Verbe;á-è;égratigner;scratch;;garse;;;
gariibu;;Nom;à-í-á;mendiant;beggar;garribga;gariibsi;;bõaasa;
gar-loasda;;Nom;;teinturier;dyer;;;Worker;;
garweongo;;Nom;á;escargot;snail;;garwendo;Small animals;;
garzungo;;Nom;;arbuste (espèce);shrub sp;;;Bush, shrub;subdga;
ga-saoko;;Nom;;indigo ayant perdu sa teinture;indigo fabric having lost its dye / colour.;;ga-sagdo;;;
gasge;;Verbe;á-è;mordre;bite;;gase;;yĩigi1, rũmi;
gãss;;Adverbe;á;abondamment;abundantly;;;;;
gãtga;;Nom;à-à;manche, mancheron (d'une charrue);shaft, handle.;;gãtse;;;
gatme;;Verbe;à;entrelacer, emmêler;interlace, interweave, mix up, tangle up.;;;;;
gẽ;;Verbe;é;bouder, rechigner;sulk.;;;;;
gebe;;Verbe;é;osciller, se balancer;oscillate, jiggle, swing.;;;;;
gẽbga;;Nom;è-á;petite calebasse pour semer;small calabash for sowing;bʋd-gẽbga;gẽbse;Container;;
gẽbge;;Verbe;è;sectionner, couper un bout;slice, dissect, cut away a part;;gẽbse, gẽebe;;wõrge1;
gebre;;Nom;è-é;oignon;onion;;gɛba;Food, Grass, herb, vine;zeyõ, albasle;
gede;;Nom;è-é;crinière;mane;gedo;;;;
gẽde;;Verbe;;mélanger;mix up;;;;gẽdme;
gẽdge;;Verbe;é-è;mélanger, combiner (une fois);mix up, blend, mingle, combine, merge, to mix things together (single instance);;gẽede;;gẽdme;
gẽdme;;Verbe;é-è;mélanger;mix up, to mix things together (single instance);;;;gẽdge, kalme, gẽde, gaame;
gẽege;;Verbe;é-è;viser, regarder, attendre, espérer;aim at, watch, wait, hope;;;;;
geel n paame;;expression;;total;total;;;Mathematics;fãa sẽn naag taaba;
geel-baoosem;;Nom;è-ào-é;mathématiques;mathematics;;;Mathematics;geel-baoosgo;
geel-baoosgo;;Nom;;mathématiques;mathematics;;;Mathematics;geel-baoosem;
geel-bila;;Nom;è-í-á;chiffre;number, digit, figure;;geel-biisi;Mathematics;sõd-bila, tikr bila;
geele;1;Verbe;è;calculer, faire des comptes, estimer la valeur, effectuer;calculate, do the accounting, carry out, perform;geelge, gelge;;Mathematics;;
geele;2;Verbe;è;supposer, penser, escompter;suppose, think, believe.;;;;;
geelgo;;Nom;;calcul;calculation;;;Mathematics;magbo2;
geel-kaseto;;Nom;;preuve mathématique;mathematical proof;;;Mathematics;;
geel-sigindim;;Nom;;opération (math.);operation (math.) Category: Mathematics;;;Mathematics;gɛɛlga;
geema tãabo;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
geemde;;Nom;è-é;bord surplombant d'une rivière;overhanging shore /rim of river.;;geaama, gɛɛma;;;
geeme;;Verbe;;se pavaner;prance.;;;;;
gẽenego;;Nom;;regard réprobateur;disapproving look;;;;;
geere;;Nom;é-è;sorte de divan en terre battue, trône;kind of platform to sit made of clay or adobe, throne.;;gɛya;;;
geese;;Verbe;è;défier, rivaliser avec, concurrencer;defy, compete with.;;;;;
gẽese;;Verbe;ẽ́-è;chercher (dans l'environnement immédiate), rechercher;look for (in the immediate environment), search, seek;;;;;
gẽgse;;Nom;;branchies;gill;;;Parts of an animal;;
gẽka;;Nom;è-á;extrémité supérieure de la mâchoire;endpoint of upper yaw;;gẽgse;Body;;
gẽke;;Verbe;é-è;se casser;break, fall apart;;gẽgse;;;
gel-buiim;;Nom;é-ù-í;jaune d’œuf;egg yolk.;;;;;
gele;;Verbe;é;balancer la tête;jiggle the head from side to side;;;;;
gelle;1;Nom;é-é;œuf;egg;;gɛla, geala;Food;;
gelle;2;Nom;é;ovule;egg, reproduction cell (ovum);;gɛla;Body;pag-rogem-bulli;
gell-ko-pɛɛlga;;Nom;;blanc d’œuf;white of egg, egg white, albumen.;;;;;
gel-lobda;;Nom;é-ó-à;ovaire;ovary;;gel-lobdba;Body;pen-zɩlmde;
gel-lobdba;;Nom;;ovaires;ovaries, ovary;;;Body;;
gel-põosre;;Nom;é;arbuste (espèce);shrub sp;;gel-põosa;Bush, shrub;kaseng-sãa-nenga;
gel-soay;;Nom;;trompes de Fallope;fallopian tube, oviduct;;;Body;;
gel-sore;;Nom;é-ó-è;trompe (femme);fallopian tube;;gel-soya;Body;;
gel-vaka;;Nom;;utérus;uterus;;;Body;rog-vaka;
gem-bãoogo;;Nom;;arbre (espèce);tree sp;;;Tree;zãmnenga;
gem-daoogo;;Nom;;cimier haut (cheveux nattés);summit, peak (plait hair, braided hair);;gem-daado;;;
gem-gongo;;Nom;è-ó;tresse au bout recourbé;braid with a curved end;;gem-gondo;;;
ã, ẽ, ĩ, õ, ũ gem-kʋka;;Nom;è-ʋ̀-á;accent circonflexe;circumflex;;;;;
gem-nini;;Nom;è-í-ì;tréma;diaeresis.;;;;;
ï, ë gem-poore;;Nom;è-ò-é;accent grave;grave accent;;;;;
gẽmse;;Verbe;;couper des feuilles avec des ongles, pincer;pinch sth;;;;;
gem-taoore;;Nom;è-ào-é;accent aigu;acute accent;;;;;
gẽne;;Verbe;è;s'amincir par la taille, s'effiler;shrink, get smaller.;;;;;
gẽodgo;;Nom;éo-ò;farine grossièrement moulue que l'on mélange aux feuilles;roughly ground flour that one adds to leaves for meals.;;;;;
geonfo;;Nom;è-ó;tresse, bande nattée, crête;braid, woven strip, cockscomb;;gɛma;;;
gẽoodre;;Nom;é-è;insecte qui s'attaque aux ruches;insect that attacks beehives;;gẽooda;Insect;;
geoog ne tẽka;;Nom;éo é té-à;point d’interrogation;question mark.;;;;;
gẽoogo;;Adjectif;é-ò;mi-fermé;half closed;;gẽedo;;;
geoolgo;;Nom;;arithmétique;arithmetic;;;Mathematics;sõds baoosgo;
gẽoone;;Verbe;è-è;s'étioler, rabougrir;wilt;;;;;
geosgo;;Nom;éo-ó;visite;visit;gesgo;;;;
gepeyɛse (GPS);;Nom;;GPS;GPS;;;;;
gere;;Nom;é-è;cuisse;thigh;;gɛya;Body;;
ger-kõbre;;Nom;é;fémur;thigh-bone, femur;;ger-kõba;Body;;
ges n gʋlse;;Verbe;é- ʋ́-è;recopier;recopy, copy out;ges-n-gʋlse;;;rɩke2;
ges nin-gɛtgẽ;;expression;;mirer;gaze one's reflection.;;;;;
gese;;Verbe;é-è;regarder, observer, voir, s'occuper de;look at, look for, see, look after, take care of;;;;;
gesgo;;Nom;;regard, visite;look, visit.;;;;;
ges-kãag baoosgo;;expression;;sciences d'observation;sciences of observation;;;Language and thought;;
ges-kãaga;;Nom;é-á-à;observation;observation.;;;;;
ges-n-gʋlsga;;Nom;é-ʋ́-á;copie;copy.;;;;;
gesre;;Nom;;spectacle;a show, theatre, sight;;;;;
gɛ;1;Verbe;ɛ̀;aller partout à la recherche de;go everywhere looking for.;;;;;
gɛ;2;Verbe;ɛ̀;tout accaparer, occuper, prendre avant les autres;monopolize, hoard, take before the others.;;;;;
gɛ;3;Verbe;ɛ̀;juxtaposer, mettre côte à côte;juxtapose, put one besides the other;;;;;
gɛ;4;Adverbe;ɛ̀;jusqu'aux quatre bords;completely full;;;;;
gɛba;;Nom;ɛ̀-á;oignons;onions;;;Food;salbsale, albasle;
gɛɛbe;;Verbe;ɛ́-è;prospérer;prosper.;;;;;
gɛɛl ne zugu;;Nom;ɛ́ ú-ù;calcul mental;mental arithmetic;;;Mathematics;;
gɛɛla;;Nom;ɛ́;calcul, comptes;calculation;;;Mathematics;;
gɛɛlga;;Nom;ɛ̀ɛ́-à;opération (math.);operation (math.) Category: Mathematics;geelga;;Mathematics;geel-sigindim;
gɛndba;;Nom;ɛ̀-á;variole;smallpox;;;Disease;;
gɛta;;Nom;;spectateur;spectator, member of the audience, onlooker.;;;;;
gɛtga;;Nom;ɛ́-à;miroir;mirror;;getse;Body;nin-gɛtga;
gĩda;;Nom;;cicatrice ethnique, scarification sur le visage;ethnic scars;;;;wi1;
gĩdgi;;Verbe;í-ì;démêler, désentraver;unravel, disentangle things, clear up, to separate;;gĩdsi,gĩidi;;;gĩdi, gĩmi
gĩdi;;Verbe;í-ì;entraver, mettre dans une situation fâcheuse;entangle, confuse, mix up things, hold up, clog, put into a difficult situation;;;;;gĩdgi
gĩdri;;Nom;;cicatrice;scar;;gĩda;;wĩifu, waeefo;
giiga;;Nom;í-à;morceau;bit, fragment, piece.;;giisi;;;
gĩigi;;Verbe;ì;s'efforcer, s' y mettre, s'activer;strive, make a shift, endeavour to;;;;modge1, mobne2, nadge, mao;
gĩilli;;Nom;;tendon, muscle, nerf;tendon, muscle;;;Body;gĩindi;
gĩindi;;Nom;ĩ́;tendon, muscle, nerf;tendon, muscle;gĩinfu, gĩilfu;gĩina;Body;gĩilli;
gĩin-rɩlgdga;;Nom;;cordon nourricier;nurturing cord.;;;;;
gilbu;;Nom;;fraude;fraud, cheating.;;;;;
gilg n gese;;Nom;;tournée (lit;;;;;;
gilga;;Adjectif;ì-á;rond;round.;;gilsi;;;
gilgi;;Verbe;í-ì;tourner, faire le tour, contourner;to turn, go around, walk around, to surround;;;;yilmi;
gilgu;;Adjectif;ì-ú;rond, en forme de boule;round, form of a ball.;giulgu;gila;;;
gili;1;Verbe;í;éviter en contournant, contourner;bypass, avoid, evade, to circumvent, go round;;;;;
gili;2;Verbe;;mettre en boules;make balls of;;;Region;fãa, zãnga1, fãa;
gilli;2;Adjectif;ì-í;en forme de boule;in a round ball shape;;gila;;giulgu;
gilmi;;Verbe;í-ì;aller et venir;go and come back;;;;yilmi;
gĩmi;;Verbe;í;s'agripper à, emmêler, devenir confus, mélangé;grip, grab, seize, clutch, grasp, muddle, to tangle, become confused, mixed up;;;;;gĩdgi
gĩmm;;Adverbe;ì;fermement;tightly, firmly;;;;;
ginda;1;Nom;;celui qui contourne;who gets around an obstacle;;;;;
gĩndi;;Nom;í-ì;gerbe, grappe, régime;sheaf, cluster;;gĩna;;tomde, kalga, killi;
gĩni;;Verbe;í;faire des gerbes, mettre en grappes;put into sheaves.;;;;;
gĩningĩtu;;Nom;;plante rampante (espèce de);creeping plant sp;gĩningĩdgu;;Grass, herb, vine;;
giri;;Verbe;í;secouer la tête pour nier;shake the head to deny.;;;;;
gĩsga;;Nom;ĩ̀-á;fil (de coton), ficelle;thread (of cotton), yarn.;;gĩsi, gĩssi;;;
gĩsi;;Verbe;í-ì;coaguler;coagulate, become thick, to set;;;;;
giulgu;;Adjectif;ì-ú;mis en boule, rond;formed as ball, round;;gila, gindu;;gilli2;
giulgu;2;Nom;;boule;ball.;;;;;
giurgu;;Adjectif;ì-ú;coupé;cut.;;girdu;;;
gi-yoko;;Nom;;silure;mud-fish;;;Fish;sẽega1;
gɩble;;Verbe;ɩ̀;barrer la route à, occuper avant les autres, rencontrer au passage;block the road, be there before the others, encounter on the way.;;;;;
gɩblgo;;Nom;ɩ̀-ó;prévention;prevention;;;Disease;koglgo2;
gɩde;;Verbe;ɩ̀;barrer le passage;block the way.;;;;;
gɩdg vʋʋsem;;Verbe;;étouffer;suffocate, choke.;;;;;
gɩdga;;Adjectif;ɩ̀-á;émoussé;dull, blunt;;gɩdse;;;
gɩdgda;;Nom;;barrière;barrier.;gɩdgdga;;;;
gɩdge;;Verbe;ɩ̀;empêcher, intercepter, barrer le passage;prevent, intercept, block the road, to block, impede, bar off;;;;;
gɩdgre;;Nom;ɩ̀-é;empêchement, opposition, objection, interdiction;hindrance, opposition, objection, prohibition.;;;;;
gɩfo;1;Nom;ɩ́-ò;poche;pocket;;gɩf-rãmba;;loaaba;
gɩfo;2;Adverbe;ɩ́-ò;mort sans avoir été égorgé, carcasse d'animal;dead without having been killed, carcass of an animal which has not been properly slaughtered;;;;;
gɩgem-baaga;;Nom;ɩ̀-á;hyène, lycaon, chien chasseur, loup;hunting dog, wolf;;gɩgem-baase;Mammal;digdinyidga;
gɩgemde;;Nom;ɩ́;lion;lion;;gɩgma;Mammal;bõn-yẽega;
gɩɩga;;Adjectif;ɩ̀-á;court, non allongé;short, not long;;gɩɩse;;;
gɩɩge;;Verbe;ɩ̀;faire revenir;cause to come back;;;;;
gɩla;1;Adverbe;;entier, intacte;whole, entire, unbroken.;;;;;
gɩla;2;Nom;;butte;earth mound;;;;vũka1;
gɩmbe;;Verbe;ɩ́-è;stagner, être arrêté;stagnate, be stopped;;;;;
gɩnga;1;Adjectif;ɩ́;trop court;too short, short;;gɩnse;;;
gɩnga;2;Nom;;espèce d'arbuste;kind of shrub;;;Bush, shrub;;
gɩrga;1;Nom;ɩ̀-á;arbuste (espèce);shrub sp;;gɩrse;Bush, shrub;;
gɩrga;2;Adjectif;ɩ́;morceau, bout;bit, fragment, stub, piece;;gɩrse;;;
gɩrma;;Nom;ɩ́;parade, mode comportement démonstratif;parade, fashion, behaviour demonstrating greatness.;;;;;
gɩta;;Nom;ɩ́;obstacle, celui qui barre le passage;obstacle, the person blocking the way.;;gɩtba;;;
gɩʋngo;;Adjectif;ɩ́-ò;court;short, too short;gɩngo;;;;
go;;Verbe;ò;tamiser;filter, sift, sieve sth.;;;;;
gõ;;Verbe;õ̀;promener (se), errer, voyager;walk around, stroll, to travel, go for a walk, roam.;;;;;
gõaada;;Nom;;voyageur;traveller.;;;;;
goaadba;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
goaadga;;Nom;ò-à;tamis;sieve, sifter;;goodse;;karzaka, tẽme;
gõaaga;1;Nom;ó;promenade, voyage;promenade, journey, walk, trip;;;;gõodem, gõobo;
gõaaga;2;Nom;ó;épine;thorn;;gõose;Parts of a plant;;
gõaaga;3;Nom;;espèce d'arbre épineux;kind of thorn tree;;;Tree;;
goabg baobgo;;expression;;sud;south;;;;wĩn-goabga, wĩndg goabga;
goabg gõd-wẽnga;;Nom;;panneau virage à gauche;bend to right;;;7;;
goabga;;Nom;ò-á;à gauche, main gauche;left (to the), left hand;;;;;
goalenga;;Adjectif;ó;tordu, courbé;crooked, distorted, bent, curved, twisted;;golemse;;golengo;
goam wʋgbo;;Nom;óa ʋ́-ò;construction de phrases;sentence construction.;;;;;
goama;;Nom;ó;paroles, langue;words, language;;;;;
gõama;;Adverbe;ò;tête baissée;with bowed head;;;;;
goam-yood soaba;;Nom;;grossier, grossière;rude person, coarse.;;;;;
goandga;;Nom;;herbe (espèce de);grass sp;;gondse;Grass, herb, vine;;
goanga;;Adjectif;ó;recourbé;bent, curved.;;goense;;;
goarga;;Nom;ó;champ de coton;cotton field;;gorse;;langa1, lam-pʋʋgo;
gobre;1;Nom;ò-á;maladroite (d'un manière);awkwardly, crack-handed, the wrong way up/round;;goaba;;;
gobre;2;Nom;;gaucher;left-handed, left-handedly;;goaba;;;
gõde;;Verbe;ò;plier, enrouler;to fold up, become folded, crease, wrap, wind up;;;;"põdge; antonyme: yõdge2";yõdge2
gõdem-gõdem;;Adverbe;;zigzag;zigzag.;gẽdem-gẽdema;;;;
gõdge;;Verbe;õ̀;tourner, virer;to turn;;gõode;;;
gõdgo;;Adjectif;ó;recourbé;hooked, bent;;gõdse;;;
gõdme;;Verbe;;serpenter;to wind.;;;;;
gõdre;;Nom;ó;virage, tournant;curve, turning.;;gõada;;;
gõdre-yẽoogo;;Nom;;espèce d'arbre;kind of tree;;;Tree;;
gõd-wẽyns a yiib sẽn pʋgd taaba;;expression;;succession de virages;double bend, first to left;;;7;;
goe;;Verbe;ò;raidir, raide;stiffen, to grow stiff, taut, get stiff.;;;;;
gõe;;Verbe;ṍ;endormi (être);fallen asleep (be), to be (fast) asleep;;;;;
goeele;;Nom;ó-è;banc, siège, chaise, tabouret;bench, seat, chair, stool;;goeelse, goeen-dãmba;Household equipment;;
gõeem;;Nom;ṍ-ẽ́;sommeil;slumber.;;;;;
gõeem-bãoogo;;Nom;;arbre (espèce);tree sp;;;;;
gõen-gõeta;;Nom;ó-á;dormeur;sleeper.;;gõen-gõetba, gõengõetba;;;
goeoogo;;Nom;ó-ó;faucille;sickle;;goeto;Tool;;
goɛɛrba;;Nom;;chenille;caterpillar;;;Small animals;;
goɛtrgoɛɛga;;Nom;ò-ó;grosse fourmi rouge;big red ant;;goɛtrgoeese;Insect;;
gofneema;;Nom;;gouvernement;government;;;Government;;
gofneere;;Nom;;gouverneur;governor;gofneema, gosneema;;Government;gʋvɛrneere;
gõgen-gõgne;;Nom;ó-ó-è;murmures, ronchonnements;muttering, warbling tones, beefing.;;;;;
gõgne;;Verbe;ó-è;grommeler, ronchonner;grouse, moan, beef;;;;;
goke;;Verbe;ó-è;donner un coup de bec;to peck, strike with the bill /beak;geoke;go, goge;;;
go-kɩɩnga;;Nom;ò-ɩ́-á;chaux éteinte;slaked lime.;;;;;
golengo;;Adjectif;;tordu;crooked, distorted, bent, curved;goalenga;golendo;;goalenga;
gõlengõonde;;Nom;;iule, myriapode;millipedes;;;Small animals;gũun-daoogo;
golme;;Verbe;ò;tordre;to twist, wrench, wring, contort, become twisted, curved, bent;;;;;
gombgo;;Nom;ò-ò;mante religieuse;praying mantis;;gombdo;Insect;;
gom-biiga;;Nom;;mot;word;;gom-biisi;;gom-bila;
gom-biis kʋʋsgo;;Nom;;abréviations;"forme courte; abbreviation, short form";;;Grammar;;
gom-biis saka;;Nom;ó-í á-à;classe de mots, catégorie;word class, part of speech.;;;;;
gom-biis sebre;;Nom;;dictionnaire;dictionary;;;;buudã gom-bi baoore;
gom-biis wʋgbo;;Nom;ó-í ʋ́-ò;construction de mots;word construction;;;Grammar;;
gom-bila;;Nom;ó-í-á;mot;word;;;;gom-biiga;
gom-bi-soakdga;;Nom;;mot interrogative;interrogative word, question word;;;Grammar;;
gom-bi-sũgdum;;Nom;ó-ì-ù-ú;mot composé;compound word;;;Grammar;;
gom-bi-taaga;;Nom;;dérivé;derivative, derivation;;;;;
gom-bi-taare;;Nom;ó-í-á;synonyme;synonym.;;;;;
gomde;;Nom;ó-è;parole, propos;speaking, word, palaver, rebuke, reprimand;;goama;;;
gom-dɛɛsa;;Nom;ó-à;porte-parole;spokesman.;;gom-dɛɛsdba;;;
gomd-n-taare;;Nom;;dialogue;dialogue;;;;sõasga2, yẽsgo;
gome;;Verbe;ó;parler, communiquer, bavarder;speak, communicate, talk, chat, rebuke;;;;;
gom-gomda;;Nom;ó-à;bavard;chatterer.;;gom-gomdba;;;
gomi;;Nom;;amidon;starch;;;;sõm2;
gõ-miiga;;Nom;ó;arbre (espèce);tree sp;gõ-miuugu;gõ-miisi;Tree;;
gõ-miuugu;;Nom;;espèce d'acacia;kind of acacia tree;gõ-miiga;;Tree;;
gom-kalga;;Nom;;paragraphe;paragraph;;;Grammar;;
gom-sag-tika;;Nom;;dialecte de référence;dialect of reference;;;Language and thought;;
gom-saka;1;Nom;ó-á-à;variante dialectale;dialect variant / difference.;;;;;
gom-saka;2;Nom;;chapitre;chapter.;;;;;
gõmse;;Verbe;ó-è;acquiescer par hochement de la tête;say yes by shaking of the head;;;;;
gom-sigdim;;Nom;ó-í-í;texte;text.;gom-sĩgdim;;;;
gom-soakdga;;Nom;ó;phrase interrogative;interrogative sentence;;;Grammar;sokrgomde;
gom-tedga;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
gõm-tiidga;;Nom;;plante (espèce);plant sp;;;Grass, herb, vine;sawi-pɛɛlga;
gom-tika;;Nom;ó-í-à;phrase-clé;key sentence.;;;;;
gomtɩ-laongo;;Nom;ó-ò;plante (espèce) dont les feuilles ressemblent à celles du coton;plant sp;;gomtɩ-lamdo;Grass, herb, vine;;
gomtɩʋʋgo;;Nom;ó-ó;caméléon;chameleon;;gomtɩto;Reptile;;
gomtɩ-zʋʋre;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
gom-toogo;;Nom;ó;bavardage;chatter.;;;;;
gom-wẽnga;;Nom;;paroles méchantes;mean words;;;;;
gom-wʋgbo;;Nom;ó-ʋ́-ò;grammaire;grammar;;;Grammar;;
gom-yooko;;Nom;;paroles méchantes;mean words;;;;;
gom-zẽnde;;Nom;;langue étrangère;foreign language.;;gom-zẽna;;;
gom-zugu;;Nom;;titre;title, heading;;;;zãmsgã gom-zugu;
gõndre yẽoogo;;Nom;;arbre à encens (espèce);tree sp;;;Tree;kʋmbryẽoogo;
gondr-yẽoogo;;Nom;;plante (espèce);plant sp;;;Bush, shrub;kʋmda-yãoogo;
gonge;1;Verbe;ò;se gonfler, faire l'important;billow, swell, make important.;;;;;
