mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
bakaorgo;;Nom;à-á-ò;outarde (petite), outarde de Denham;bustard (bird), Denham's Bustard;bakargo;bakardo;Bird;;
ba-kãsenga;;Nom;á-á-è-á;oncle paternel, aîné du père;uncle, older brother of the father, father's older brother.;;;;;
bake;;Verbe;á-è;séparer, se détacher, bifurquer, isoler, écarter ou détacher des choses;separate, detach, bifurcate (road), isolate;;;;welge;
bal tãong zĩiga;;Nom;;terrain de football;football field.;;;;;
bala;1;Adverbe;à-á;seulement;only, merely;;;;;
bala;2;conjonction;à;car, parce que, en effet;because, so, therefore;;;;;
balaabtoogo;;Adverbe;;au loin;far away.;;;;;
bale;;Verbe;á-é;épierrer, séparer les grains des pierres ou d'autres déchets;clean an area of stones, get rid of stones in the grains;;;;;
balembaodgo;;Nom;á-ò;plante aquatique (espèce);water plant sp;;balembato;Grass, herb, vine;;
bale-sãoogo;;Nom;;arbre (espèce);tree sp;;;Tree;yãnd-tɩɩga, kʋmbrsaka;
balgda;;Nom;;rivet;rivet nut.;balgdga;;;;
balge;1;Verbe;á-è;séparer, extraire, trier;separate, extract, to sort, select;;baale;;;
balge;2;Verbe;à;emmancher, coincer;put a handle /shaft on a tool, clamp, insert into each other, connect, tie together;;baale;;;
ball-balle;;Adverbe;á-è;séparément, en classant par groupe;separately.;;;;;
balle;1;Adverbe;á-è;à l'écart et en paquet;at the side and grouped together.;;;;;
balle;2;Nom;;ballon, balle;ball;;ballse;Tool;;
bã-longdem;;Nom;à-ó-é;maladie contagieuse, peste;contagious disease, pestilence, plague;bã-loaadga;;Disease;;
balorgo;;Adjectif;à-ó-ò;difforme, inélégant;deformed, misshapen, inelegant.;;balordo;;;
balsende;;Adjectif;á-é;un peu chaud;a bit hot;;;;;
bal-tãong põgdo;;Nom;;des cages de football;football cage.;;;;;
bã-lʋtem;;Nom;;épilepsie;epilepsy;;;Disease;kĩsinkĩiri;
bã-maandem;;Nom;;maladie due à un empoisonnement ou à un maléfice;disease caused by poisoning or an evil spell;;;Disease;;
bã-maasga;;Nom;à-á;maladie du sommeil;sleeping sickness;;;Disease;kũnukũngu, kũnukũngu;
bãmba;1;démonstratif;;ces;these;;;;;
bãmba;3;Pronom;ã́;ils, elles, eux;they, them, their;bãmb;;;;
bãm-bãm;;Adverbe;ã̀;sombre, ombrageux;dark, shadowy.;;;;;
bambarende;;Nom;á;langue bambara;Bambara language.;;;;;
bambarenga;;Nom;á;personne bambara;Bambara person;;bambarense;Community;;
bambu;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
bãme;;Verbe;ã́;devenir touffu;becoming bushy.;;;;;
bã-muka;;Nom;;maladie silencieuse;silent disease, silent illness;;;Disease;;
banaaga;;Nom;á-à;boubou;garment (big traditional), a smock;;banaase, banaag-rãmba;Clothing;;
ba-namba;;Nom;;père, oncle paternel;father, uncle (father's side);;;Relationships;saamba;
banand tɩɩga;;Nom;;bananier;banana tree;;;Tree;yaba;
banande;;Nom;à-á-è;bananier, banane;banana tree, banana;;;Food;;
banda-ku;;Nom;;espèce de plante;kind of plant, cassava;;;Food, Grass, herb, vine;;
bãnda-ku;;Nom;;manioc;manioc, cassava;;;Food;;
bãn-daoogo;;Nom;ã̀-ó;poteau;pole, stake.;;bãn-daado;;;
bãnde;1;Nom;ã́;signe, marque, miracle;sign, mark, label, miracle;;bãna;Disease;zãnde5;
bãnde;2;Nom;;faute, défaut;mistake, error, fault.;;;;;
bãndʋrba;;Nom;à-á;foule;crowd, herd, host;;;;neb kʋʋngo, zãma;
bãne;;Verbe;ã̀;oindre, appliquer de l'huile;anoint, apply oil;bãle;;;;
bãnege;;Verbe;ã̀;ralentir, adoucir;slow down, ease, soften;;;;;
bãnese;;Verbe;ã̀;dresser, dompter;tame;;;;;
bãng zaamẽ;;expression;;reconnaître;recognize, identify, admit.;;;;;
